id	k	kh	g	gh	ṅ	c	ch	j	jh	ñ	ṭ	ṭh	ḍ	ḍh	ṇ	t	th	d	dh	n		p	ph	b	bh	m	y		r		l			v	ś	ṣ	s	h
telugu	క	ఖ	గ	ఘ	ఙ	చ	ఛ	జ	ఝ	ఞ	ట	ఠ	డ	ఢ	ణ	త	థ	ద	ధ	న		ప	ఫ	బ	భ	మ	య		ర	ఱ	ల	ళ	ఴ	వ	శ	ష	స	హ
kannada	ಕ	ಖ	ಗ	ಘ	ಙ	ಚ	ಛ	ಜ	ಝ	ಞ	ಟ	ಠ	ಡ	ಢ	ಣ	ತ	ಥ	ದ	ಧ	ನ		ಪ	ಫ	ಬ	ಭ	ಮ	ಯ		ರ	ಱ	ಲ	ಳ	ೞ	ವ	ಶ	ಷ	ಸ	ಹ
malayalam	ക	ഖ	ഗ	ഘ	ങ	ച	ഛ	ജ	ഝ	ഞ	ട	ഠ	ഡ	ഢ	ണ	ത	ഥ	ദ	ധ	ന	ഩ	പ	ഫ	ബ	ഭ	മ	യ		ര	റ	ല	ള	ഴ	വ	ശ	ഷ	സ	ഹ
sinhala	ක	ඛ	ග	ඝ	ඞ	ච	ඡ	ජ	ඣ	ඤ	ට	ඨ	ඩ	ඪ	ණ	ත	ථ	ද	ධ	න		ප	ඵ	බ	භ	ම	ය		ර		ල	ළ		ව	ශ	ෂ	ස	හ
tibetan	ཀ	ཁ	ག	གྷ	ང	ཅ	ཆ	ཇ	ཛྷ	ཉ	ཊ	ཋ	ཌ	ཌྷ	ཎ	ཏ	ཐ	ད	དྷ	ན		པ	ཕ	བ	བྷ	མ	ཡ		ར	ཬ	ལ			ཝ	ཤ	ཥ	ས	ཧ
phagspa	ꡀ	ꡁ	ꡂ	ꡂꡜ	ꡃ	ꡄ	ꡅ	ꡆ	ꡆꡜ	ꡇ	ꡩ	ꡪ	ꡫ	ꡫꡜ	ꡬ	ꡈ	ꡉ	ꡊ	ꡊꡜ	ꡋ		ꡌ	ꡍ	ꡎ	ꡎꡜ	ꡏ	ꡗ		ꡘ		ꡙ			ꡓ	ꡚ		ꡛ	ꡜ
meitei_mayek	ꯀ	ꯈ	ꯒ	ꯘ	ꯉ	ꯆ	ꫢ	ꯖ	ꯓ	ꫣ	ꫤ	ꫥ	ꫦ	ꫧ	ꫨ	ꯇ	ꯊ	ꯗ	ꯙ	ꯅ		ꯄ	ꯐ	ꯕ	ꯚ	ꯃ	ꯌ		ꯔ		ꯂ			ꯋ	ꫩ	ꫪ	ꯁ	ꯍ
lepcha	ᰀ	ᰂ	ᰃ		ᰅ	ᰆ	ᰇ	ᰈ		ᰉ	ᱍ	ᱎ	ᱏ			ᰊ	ᰋ	ᰌ		ᰍ		ᰎ	ᰐ	ᰓ		ᰕ	ᰚ		ᰛ		ᰜ			ᰟ	ᰡ	ᰡ᰷	ᰠ	ᰝ
limbu	ᤁ	ᤂ	ᤃ	ᤄ	ᤅ	ᤆ	ᤇ	ᤈ	ᤉ	ᤊ						ᤋ	ᤌ	ᤍ	ᤎ	ᤏ		ᤐ	ᤑ	ᤒ	ᤓ	ᤔ	ᤕ		ᤖ		ᤗ			ᤘ	ᤙ	ᤚ	ᤛ	ᤜ
tirhuta	𑒏	𑒐	𑒑	𑒒	𑒓	𑒔	𑒕	𑒖	𑒗	𑒘	𑒙	𑒚	𑒛	𑒜	𑒝	𑒞	𑒟	𑒠	𑒡	𑒢		𑒣	𑒤	𑒥	𑒦	𑒧	𑒨		𑒩		𑒪				𑒬	𑒭	𑒮	𑒯
